TimeStamp,PreviousTimeStamp,DoorRotation,PreviousDoorRotation,topAngle,XPosition,YPosition,ZPosition,Inside/Outside,AngleOfParticipant,DeltaTheta,Radius,ClosestAngleToDoor,TTC
2.257771,2.229778,316.6602,317.9198,1.2596435546875,0.1421238,1.386485,1.865836,0,274.3559,42.30429,1.87124145717206,42.30429,7.03705553173707
2.285669,2.257771,315.4048,316.6602,1.25543212890625,0.1406817,1.386598,1.866023,0,274.3114,41.09332,1.87131875831494,41.09332,7.00894929097063
2.313659,2.285669,314.1452,315.4048,1.25955200195313,0.1390236,1.387659,1.866362,0,274.26,39.88516,1.87153258483521,39.88516,6.98101903869285
2.341349,2.313659,312.8991,314.1452,1.24606323242188,0.1372833,1.38879,1.866536,0,274.2065,38.69263,1.87157800904401,38.69263,6.95328360910568
2.369343,2.341349,311.6394,312.8991,1.25970458984375,0.1357802,1.390128,1.866732,0,274.1602,37.47925,1.87166338663408,37.47925,6.92532208437859
2.397019,2.369343,310.394,311.6394,1.24542236328125,0.13416,1.391774,1.86688,0,274.1104,36.28363,1.8716940618634,36.28363,6.89765792570696
2.42504,2.397019,309.1331,310.394,1.26095581054688,0.1325724,1.393359,1.866645,0,274.0624,35.07062,1.87134696973177,35.07062,6.86970531112149
2.453182,2.42504,307.8667,309.1331,1.26638793945313,0.1312422,1.394279,1.866449,0,274.0222,33.84445,1.87105729748492,33.84445,6.84137075674788
2.480808,2.453182,306.6235,307.8667,1.24313354492188,0.130019,1.395199,1.866336,0,273.9851,32.63843,1.87085943706071,32.63843,6.81400662093597
2.508724,2.480808,305.3672,306.6235,1.25628662109375,0.129037,1.395231,1.866147,0,273.9555,31.41177,1.87060294602955,31.41177,6.7857418170923
2.537412,2.508724,304.0763,305.3672,1.29095458984375,0.1284976,1.394983,1.866118,0,273.9391,30.13724,1.87053688260142,30.13724,6.7572122899349
2.564296,2.537412,302.8665,304.0763,1.20980834960938,0.1282441,1.395243,1.865656,0,273.9323,28.9342,1.8700581493969,28.9342,6.73034777749671
2.592171,2.564296,301.6121,302.8665,1.25436401367188,0.1278924,1.395404,1.865087,0,273.9227,27.68939,1.86946656485439,27.68939,6.70248012515114
2.62003,2.592171,300.3585,301.6121,1.25363159179688,0.1273779,1.395522,1.864797,0,273.9076,26.4509,1.86914254430595,26.4509,6.6746940419639
2.648099,2.62003,299.0954,300.3585,1.26312255859375,0.1271043,1.395481,1.86449,0,273.8999,25.1955,1.86881718532728,25.1955,6.64647590143435
2.675762,2.648099,297.8506,299.0954,1.24481201171875,0.1267827,1.395491,1.864181,0,273.8907,23.95987,1.8684872159821,23.95987,6.61902166464423
2.703726,2.675762,296.5922,297.8506,1.25839233398438,0.1262454,1.395653,1.864009,0,273.8746,22.71756,1.86827920129158,22.71756,6.59089949533725
2.731655,2.703726,295.3354,296.5922,1.25677490234375,0.1249845,1.396259,1.863917,0,273.8362,21.49918,1.8681031679318,21.49918,6.5630696335805
2.759563,2.731655,294.0795,295.3354,1.25592041015625,0.1238616,1.396483,1.863665,0,273.8024,20.2771,1.86777680192393,20.2771,6.53497274312321
2.787411,2.759563,292.8263,294.0795,1.253173828125,0.1225661,1.396708,1.863603,0,273.7628,19.06348,1.86762961262005,19.06348,6.50718040963769
2.81545,2.787411,291.5646,292.8263,1.26171875,0.1211351,1.396803,1.863697,0,273.7188,17.84573,1.86762976172105,17.84573,6.47939398349623
2.843115,2.81545,290.3197,291.5646,1.24490356445313,0.119532,1.396507,1.863811,0,273.6695,16.65015,1.86764027979401,16.65015,6.45152478258056
2.871131,2.843115,289.059,290.3197,1.26071166992188,0.1179958,1.396318,1.863916,0,273.6223,15.43668,1.86764739694406,15.43668,6.4235956122253
2.89925,2.871131,287.7936,289.059,1.265380859375,0.116437,1.395569,1.864089,0,273.5742,14.21933,1.86772247829527,14.21933,6.39524778378141
2.926557,2.89925,286.5648,287.7936,1.22879028320313,0.1149876,1.394897,1.864461,0,273.5291,13.03564,1.86800329515662,13.03564,6.36818673121297
2.954716,2.926557,285.2976,286.5648,1.26715087890625,0.1135137,1.394208,1.86449,0,273.484,11.81366,1.86794244071839,11.81366,6.33999999656675
2.982489,2.954716,284.0478,285.2976,1.24981689453125,0.1124347,1.393518,1.864158,0,273.4515,10.59628,1.86754553895491,10.59628,6.31215333082239
